#ID	Length	Dir	Exons	Position	GroupID	NIsoformInGroup	Explv
transcript:ENST00000423014	593	-	4	1:161007421-161008780	11	7	1.000000
transcript:ENST00000466967	477	-	3	1:161007482-161008519	11	7	1.000000
transcript:ENST00000486084	813	-	2	1:161007688-161008706	11	7	1.000000
transcript:ENST00000367470	3823	+	13	1:186344890-186390499	12	6	1.000000
transcript:ENST00000419367	1915	+	13	1:186344955-186388683	12	6	1.000000
transcript:ENST00000287859	3792	+	14	1:186345001-186390510	12	6	1.000000
transcript:ENST00000432021	1296	+	12	1:186348918-186388208	12	6	1.000000
transcript:ENST00000478571	382	+	4	1:186367552-186381025	12	6	1.000000
transcript:ENST00000461662	503	+	2	1:186386509-186388365	12	6	1.000000
transcript:ENST00000312239	3938	-	13	1:21069154-21113181	13	14	1.000000
transcript:ENST00000375003	4822	-	9	1:21069175-21101498	13	14	1.000000
transcript:ENST00000488722	639	-	5	1:21069628-21076240	13	14	1.000000
transcript:ENST00000491748	706	-	3	1:21072085-21076744	13	14	1.000000
transcript:ENST00000419948	759	-	7	1:21074108-21103097	13	14	1.000000
transcript:ENST00000438032	1159	-	9	1:21083659-21113765	13	14	1.000000
transcript:ENST00000424732	970	-	8	1:21083692-21113805	13	14	1.000000
transcript:ENST00000417710	572	-	5	1:21100080-21112776	13	14	1.000000
transcript:ENST00000487117	1598	-	3	1:21101943-21107034	13	14	1.000000
transcript:ENST00000375000	928	-	5	1:21102148-21113133	13	14	1.000000
transcript:ENST00000437575	473	-	4	1:21103191-21113816	13	14	1.000000
transcript:ENST00000419490	538	-	3	1:21103206-21113145	13	14	1.000000
transcript:ENST00000414993	727	-	4	1:21103213-21113145	13	14	1.000000
transcript:ENST00000443615	557	-	2	1:21106329-21113159	13	14	1.000000
transcript:ENST00000476041	1006	-	4	1:36856839-36863488	14	3	1.000000
transcript:ENST00000315732	850	-	2	1:36859031-36863493	14	3	1.000000
transcript:ENST00000489912	401	-	2	1:36859615-36863479	14	3	1.000000
transcript:ENST00000368059	2743	-	8	1:160454820-160493052	15	3	1.000000
transcript:ENST00000368057	2712	-	8	1:160454845-160493043	15	3	1.000000
transcript:ENST00000368055	730	-	7	1:160456483-160493032	15	3	1.000000
transcript:ENST00000369291	9117	+	9	1:145611036-145696218	16	3	1.000000
transcript:ENST00000539368	1025	+	9	1:145611050-145687091	16	3	1.000000
transcript:ENST00000542738	470	+	5	1:145611295-145663273	16	3	1.000000
transcript:ENST00000579787	3737	-	1	1:2567415-2571151	17	4	1.000000
transcript:ENST00000401094	2222	-	9	1:2567415-2718286	17	4	1.000000
transcript:ENST00000401095	1781	-	7	1:2572807-2706236	17	4	1.000000
transcript:ENST00000574621	694	-	4	1:2700271-2706280	17	4	1.000000
transcript:ENST00000445680	415	-	2	1:111981260-111983986	18	2	1.000000
transcript:ENST00000416099	723	-	2	1:111981262-111983850	18	2	1.000000
transcript:ENST00000373826	1950	+	2	1:28918712-28921955	19	2	1.000000
transcript:ENST00000465518	837	+	2	1:28919027-28920812	19	2	1.000000
transcript:ENST00000537147	1902	+	3	1:159173097-159176288	20	4	1.000000
transcript:ENST00000368122	1740	+	2	1:159174071-159176290	20	4	1.000000
transcript:ENST00000435307	550	+	2	1:159174709-159175688	20	4	1.000000
transcript:ENST00000368121	1088	+	1	1:159175201-159176288	20	4	1.000000
transcript:ENST00000375599	1545	-	5	1:16558195-16563657	21	2	1.000000
transcript:ENST00000434014	336	-	4	1:16558776-16563154	21	2	1.000000
transcript:ENST00000308182	2390	-	19	1:26648350-26670443	22	10	1.000000
transcript:ENST00000527815	2523	-	19	1:26648350-26670576	22	10	1.000000
transcript:ENST00000374211	691	-	4	1:26648368-26651472	22	10	1.000000
transcript:ENST00000374208	469	-	4	1:26648454-26651611	22	10	1.000000
transcript:ENST00000520372	554	-	4	1:26655100-26662874	22	10	1.000000
transcript:ENST00000522923	547	-	6	1:26658076-26663737	22	10	1.000000
transcript:ENST00000429942	886	-	9	1:26658085-26665837	22	10	1.000000
transcript:ENST00000522993	796	-	6	1:26662957-26664930	22	10	1.000000
transcript:ENST00000374207	1353	-	7	1:26669245-26680587	22	10	1.000000
transcript:ENST00000475866	1548	-	2	1:26671751-26680621	22	10	1.000000
transcript:ENST00000378733	718	-	4	1:1470554-1475737	23	2	1.000000
transcript:ENST00000425828	717	-	5	1:1470587-1475833	23	2	1.000000
transcript:ENST00000368680	4236	+	22	1:153651113-153666468	24	3	1.000000
transcript:ENST00000413826	473	+	2	1:153653277-153654268	24	3	1.000000
transcript:ENST00000368677	1706	+	6	1:153661200-153666444	24	3	1.000000
transcript:ENST00000524196	734	+	4	1:227057885-227069671	25	13	1.000000
transcript:ENST00000366783	2302	+	13	1:227058264-227083799	25	13	1.000000
transcript:ENST00000340188	2201	+	12	1:227058273-227083806	25	13	1.000000
transcript:ENST00000495488	627	+	5	1:227058317-227073269	25	13	1.000000
transcript:ENST00000422240	1947	+	13	1:227058321-227083504	25	13	1.000000
transcript:ENST00000521431	730	+	2	1:227058564-227063253	25	13	1.000000
transcript:ENST00000460775	782	+	6	1:227058965-227079045	25	13	1.000000
transcript:ENST00000366782	2465	+	13	1:227058969-227083799	25	13	1.000000
transcript:ENST00000391872	1972	+	11	1:227068347-227083806	25	13	1.000000
transcript:ENST00000496965	1614	+	11	1:227069589-227083799	25	13	1.000000
transcript:ENST00000472139	1163	+	9	1:227072324-227083392	25	13	1.000000
transcript:ENST00000487450	566	+	3	1:227078267-227079521	25	13	1.000000
transcript:ENST00000471728	570	+	5	1:227078520-227083245	25	13	1.000000
transcript:ENST00000366560	1797	-	10	1:241660903-241683061	26	3	1.000000
transcript:ENST00000497042	351	-	2	1:241675167-241676976	26	3	1.000000
transcript:ENST00000493477	414	-	3	1:241676980-241682604	26	3	1.000000
transcript:ENST00000482825	1618	-	7	1:150933059-150940107	27	14	1.000000
transcript:ENST00000561294	1803	-	10	1:150936146-150941588	27	14	1.000000
transcript:ENST00000560793	1661	-	6	1:150937649-150940201	27	14	1.000000
transcript:ENST00000345896	2170	-	10	1:150937649-150947319	27	14	1.000000
transcript:ENST00000271688	2505	-	11	1:150937649-150947440	27	14	1.000000
transcript:ENST00000368954	2504	-	11	1:150937649-150947479	27	14	1.000000
transcript:ENST00000460664	850	-	6	1:150938963-150940648	27	14	1.000000
transcript:ENST00000368949	1002	-	10	1:150939040-150944411	27	14	1.000000
transcript:ENST00000361419	997	-	8	1:150939543-150947302	27	14	1.000000
transcript:ENST00000559660	242	-	4	1:150939607-150940608	27	14	1.000000
transcript:ENST00000558062	896	-	7	1:150939623-150941794	27	14	1.000000
transcript:ENST00000559020	594	-	4	1:150939858-150940954	27	14	1.000000
transcript:ENST00000421609	738	-	7	1:150939903-150946953	27	14	1.000000
transcript:ENST00000457392	545	-	4	1:150940583-150946911	27	14	1.000000
transcript:ENST00000370113	2835	-	5	1:101337943-101360368	28	7	1.000000
transcript:ENST00000370114	3985	-	5	1:101337943-101361554	28	7	1.000000
transcript:ENST00000535414	1780	-	6	1:101339112-101360387	28	7	1.000000
transcript:ENST00000450240	902	-	6	1:101339716-101360220	28	7	1.000000
transcript:ENST00000416479	730	-	4	1:101343075-101360367	28	7	1.000000
transcript:ENST00000494907	440	-	3	1:101351154-101360237	28	7	1.000000
transcript:ENST00000480774	678	-	2	1:101353880-101360361	28	7	1.000000
transcript:ENST00000489706	451	-	4	1:109834987-109838975	29	3	1.000000
transcript:ENST00000357155	1372	-	9	1:109834987-109849663	29	3	1.000000
transcript:ENST00000477962	871	-	4	1:109835137-109849617	29	3	1.000000
transcript:ENST00000430014	2073	-	7	1:144456138-144521291	30	19	1.000000
transcript:ENST00000443242	850	-	5	1:144456641-144491721	30	19	1.000000
transcript:ENST00000454100	660	-	4	1:144456641-144491793	30	19	1.000000
transcript:ENST00000437785	1539	-	8	1:144456645-144520983	30	19	1.000000
transcript:ENST00000456620	490	-	3	1:144460626-144461412	30	19	1.000000
transcript:ENST00000444499	609	-	5	1:144460861-144491793	30	19	1.000000
transcript:ENST00000421955	375	-	3	1:144461396-144470546	30	19	1.000000
transcript:ENST00000428309	454	-	3	1:144461400-144470218	30	19	1.000000
transcript:ENST00000429496	769	-	3	1:144464347-144491882	30	19	1.000000
transcript:ENST00000431928	1063	-	2	1:144479978-144481765	30	19	1.000000
transcript:ENST00000411760	737	-	3	1:144480741-144520919	30	19	1.000000
transcript:ENST00000442509	1242	-	2	1:144480744-144520993	30	19	1.000000
transcript:ENST00000434159	442	-	2	1:144480753-144481509	30	19	1.000000
transcript:ENST00000414344	515	-	3	1:144481555-144521271	30	19	1.000000
transcript:ENST00000426786	324	-	3	1:144481627-144521970	30	19	1.000000
transcript:ENST00000435404	405	-	4	1:144505804-144520841	30	19	1.000000
transcript:ENST00000444883	372	-	2	1:144506091-144516503	30	19	1.000000
transcript:ENST00000411941	389	-	2	1:144506277-144521002	30	19	1.000000
transcript:ENST00000458262	521	-	2	1:144516419-144520983	30	19	1.000000
transcript:ENST00000367279	3265	-	9	1:202116141-202129119	31	21	1.000000
transcript:ENST00000309017	3765	-	10	1:202116141-202130709	31	21	1.000000
transcript:ENST00000495688	2689	-	11	1:202116143-202129722	31	21	1.000000
transcript:ENST00000308986	2805	-	10	1:202116143-202129751	31	21	1.000000
transcript:ENST00000462815	1147	-	8	1:202117341-202129736	31	21	1.000000
transcript:ENST00000544762	1147	-	8	1:202117341-202129736	31	21	1.000000
transcript:ENST00000496197	1463	-	10	1:202117417-202129736	31	21	1.000000
transcript:ENST00000480836	1189	-	9	1:202117567-202129743	31	21	1.000000
transcript:ENST00000543735	1189	-	9	1:202117567-202129743	31	21	1.000000
transcript:ENST00000477554	1432	-	10	1:202117628-202130709	31	21	1.000000
transcript:ENST00000492977	1595	-	7	1:202118979-202127697	31	21	1.000000
transcript:ENST00000477625	673	-	6	1:202121666-202129772	31	21	1.000000
transcript:ENST00000479092	545	-	5	1:202123314-202129743	31	21	1.000000
transcript:ENST00000476061	550	-	6	1:202123367-202129730	31	21	1.000000
transcript:ENST00000467283	577	-	5	1:202124665-202129736	31	21	1.000000
transcript:ENST00000464870	542	-	5	1:202124665-202129736	31	21	1.000000
transcript:ENST00000435759	575	-	5	1:202124689-202129736	31	21	1.000000
transcript:ENST00000486116	551	-	5	1:202124709-202129736	31	21	1.000000
transcript:ENST00000491584	573	-	3	1:202127092-202129733	31	21	1.000000
transcript:ENST00000492451	560	-	3	1:202127246-202130716	31	21	1.000000
transcript:ENST00000468385	1061	-	2	1:202127586-202129736	31	21	1.000000
transcript:ENST00000369522	3522	+	32	1:115397424-115537991	32	8	1.000000
transcript:ENST00000455987	2554	+	28	1:115397489-115520231	32	8	1.000000
transcript:ENST00000369518	3452	+	32	1:115397754-115537988	32	8	1.000000
transcript:ENST00000477215	579	+	6	1:115401171-115419503	32	8	1.000000
transcript:ENST00000468191	396	+	3	1:115402309-115405731	32	8	1.000000
transcript:ENST00000482717	763	+	9	1:115452700-115487568	32	8	1.000000
transcript:ENST00000493377	783	+	5	1:115452819-115466255	32	8	1.000000
transcript:ENST00000477590	800	+	4	1:115520178-115537975	32	8	1.000000
transcript:ENST00000370143	476	+	5	1:100598706-100606096	33	5	1.000000
transcript:ENST00000370141	3129	+	11	1:100598719-100616053	33	5	1.000000
transcript:ENST00000482437	1582	+	8	1:100598721-100610123	33	5	1.000000
transcript:ENST00000370139	711	+	6	1:100598771-100606368	33	5	1.000000
transcript:ENST00000493651	586	+	2	1:100608463-100609907	33	5	1.000000
transcript:ENST00000469416	2382	+	5	1:40915774-40929386	34	4	1.000000
transcript:ENST00000484445	1976	+	5	1:40915779-40929352	34	4	1.000000
transcript:ENST00000361584	1976	+	5	1:40915779-40929352	34	4	1.000000
transcript:ENST00000411995	2109	+	6	1:40915779-40929390	34	4	1.000000
transcript:ENST00000455895	2846	-	11	1:32830704-32860049	35	18	1.000000
transcript:ENST00000413080	2645	-	10	1:32830707-32860034	35	18	1.000000
transcript:ENST00000444377	2925	-	12	1:32830714-32860029	35	18	1.000000
transcript:ENST00000341071	4599	-	10	1:32830772-32860027	35	18	1.000000
transcript:ENST00000526031	1361	-	9	1:32831897-32860042	35	18	1.000000
transcript:ENST00000419121	1473	-	10	1:32831902-32860042	35	18	1.000000
transcript:ENST00000446293	1505	-	11	1:32832078-32860031	35	18	1.000000
transcript:ENST00000463967	616	-	2	1:32833626-32840383	35	18	1.000000
transcript:ENST00000373520	1630	-	10	1:32833634-32860029	35	18	1.000000
transcript:ENST00000449308	1288	-	10	1:32834827-32860034	35	18	1.000000
transcript:ENST00000527513	576	-	7	1:32842231-32860026	35	18	1.000000
transcript:ENST00000527163	567	-	8	1:32842288-32860026	35	18	1.000000
transcript:ENST00000530485	482	-	6	1:32843828-32860029	35	18	1.000000
transcript:ENST00000474414	978	-	5	1:32844364-32860332	35	18	1.000000
transcript:ENST00000530876	570	-	3	1:32849498-32860032	35	18	1.000000
transcript:ENST00000530753	571	-	3	1:32849542-32860026	35	18	1.000000
transcript:ENST00000533084	564	-	3	1:32852022-32860032	35	18	1.000000
transcript:ENST00000531222	562	-	2	1:32859202-32860026	35	18	1.000000
transcript:ENST00000433267	757	+	5	1:171217638-171248009	36	8	1.000000
transcript:ENST00000367750	2155	+	9	1:171217638-171255117	36	8	1.000000
transcript:ENST00000402921	1572	+	8	1:171217690-171254766	36	8	1.000000
transcript:ENST00000469112	3130	+	9	1:171226877-171255116	36	8	1.000000
transcript:ENST00000354841	2160	+	8	1:171227096-171255113	36	8	1.000000
transcript:ENST00000459868	512	+	3	1:171227229-171240760	36	8	1.000000
transcript:ENST00000472893	647	+	5	1:171244485-171252335	36	8	1.000000
transcript:ENST00000469711	396	+	2	1:171251397-171254660	36	8	1.000000
transcript:ENST00000519225	583	+	3	1:242011269-242013762	37	12	1.000000
transcript:ENST00000366548	3473	+	16	1:242011482-242053241	37	12	1.000000
transcript:ENST00000423131	950	+	6	1:242011527-242021891	37	12	1.000000
transcript:ENST00000523590	621	+	4	1:242011553-242016783	37	12	1.000000
transcript:ENST00000348581	3190	+	14	1:242012033-242053237	37	12	1.000000
transcript:ENST00000518483	2899	+	14	1:242012133-242053048	37	12	1.000000
transcript:ENST00000437497	593	+	5	1:242012252-242021891	37	12	1.000000
transcript:ENST00000450748	607	+	5	1:242012253-242016783	37	12	1.000000
transcript:ENST00000493702	783	+	6	1:242012285-242022020	37	12	1.000000
transcript:ENST00000469419	754	+	5	1:242013794-242024006	37	12	1.000000
transcript:ENST00000521202	623	+	3	1:242042342-242052891	37	12	1.000000
transcript:ENST00000518741	393	+	3	1:242048659-242058450	37	12	1.000000
transcript:ENST00000367816	2608	+	7	1:169074935-169101960	38	5	1.000000
transcript:ENST00000367815	1883	+	6	1:169075561-169101257	38	5	1.000000
transcript:ENST00000494797	718	+	4	1:169077145-169096637	38	5	1.000000
transcript:ENST00000499679	1738	+	6	1:169077186-169101553	38	5	1.000000
transcript:ENST00000367813	1382	+	6	1:169079836-169101254	38	5	1.000000
transcript:ENST00000476133	710	-	4	1:153591263-153600724	39	7	1.000000
transcript:ENST00000339556	514	-	3	1:153591275-153600656	39	7	1.000000
transcript:ENST00000392622	547	-	3	1:153591280-153599524	39	7	1.000000
transcript:ENST00000392623	579	-	3	1:153591280-153599744	39	7	1.000000
transcript:ENST00000440685	684	-	4	1:153591280-153600715	39	7	1.000000
transcript:ENST00000368699	892	-	5	1:153591280-153606568	39	7	1.000000
transcript:ENST00000491177	2184	-	5	1:153591284-153603836	39	7	1.000000
transcript:ENST00000296218	2649	+	6	1:38022520-38032458	40	6	1.000000
transcript:ENST00000490312	712	+	2	1:38022554-38023792	40	6	1.000000
transcript:ENST00000466723	511	+	4	1:38022599-38027789	40	6	1.000000
transcript:ENST00000541606	1168	+	5	1:38022607-38031234	40	6	1.000000
transcript:ENST00000497858	3539	+	2	1:38026139-38032457	40	6	1.000000
transcript:ENST00000467277	621	+	3	1:38027002-38030747	40	6	1.000000
transcript:ENST00000374005	2729	-	13	1:27938575-27961788	41	8	1.000000
transcript:ENST00000399173	2483	-	13	1:27938803-27952751	41	8	1.000000
transcript:ENST00000545953	2242	-	12	1:27938803-27961727	41	8	1.000000
transcript:ENST00000374004	2350	-	11	1:27938811-27950573	41	8	1.000000
transcript:ENST00000374003	2021	-	13	1:27939180-27953080	41	8	1.000000
transcript:ENST00000457296	1104	-	9	1:27942025-27952646	41	8	1.000000
transcript:ENST00000475472	679	-	3	1:27949895-27961645	41	8	1.000000
transcript:ENST00000468038	781	-	3	1:27949918-27952751	41	8	1.000000
transcript:ENST00000284523	2932	+	4	1:228194752-228248961	42	2	1.000000
transcript:ENST00000366753	1368	+	5	1:228194783-228248168	42	2	1.000000
transcript:ENST00000372571	4468	-	3	1:42642210-42655480	43	9	1.000000
transcript:ENST00000372572	5352	-	15	1:42642210-42800636	43	9	1.000000
transcript:ENST00000372573	5309	-	13	1:42642210-42801548	43	9	1.000000
transcript:ENST00000361346	5225	-	13	1:42642216-42800903	43	9	1.000000
transcript:ENST00000361776	5123	-	12	1:42642216-42800903	43	9	1.000000
transcript:ENST00000545068	5161	-	13	1:42642220-42781130	43	9	1.000000
transcript:ENST00000445886	1326	-	8	1:42657077-42800892	43	9	1.000000
transcript:ENST00000422278	447	-	3	1:42660668-42671682	43	9	1.000000
transcript:ENST00000454417	499	-	2	1:42730602-42744258	43	9	1.000000
transcript:ENST00000426890	589	+	7	1:182419256-182441535	44	14	1.000000
transcript:ENST00000367561	2044	+	8	1:182419257-182457883	44	14	1.000000
transcript:ENST00000427189	543	+	5	1:182419268-182429262	44	14	1.000000
transcript:ENST00000542961	3154	+	20	1:182419281-182523785	44	14	1.000000
transcript:ENST00000443996	3676	+	22	1:182419281-182529693	44	14	1.000000
transcript:ENST00000294854	3696	+	22	1:182419281-182529693	44	14	1.000000
transcript:ENST00000416676	708	+	8	1:182419284-182458196	44	14	1.000000
transcript:ENST00000422241	726	+	8	1:182419284-182458243	44	14	1.000000
transcript:ENST00000447374	555	+	5	1:182422517-182440510	44	14	1.000000
transcript:ENST00000437548	767	+	7	1:182422519-182441622	44	14	1.000000
transcript:ENST00000444367	486	+	4	1:182423105-182441740	44	14	1.000000
transcript:ENST00000415960	2084	+	16	1:182443657-182529734	44	14	1.000000
transcript:ENST00000436031	5672	+	12	1:182462090-182529734	44	14	1.000000
transcript:ENST00000456971	614	+	5	1:182476336-182501926	44	14	1.000000
transcript:ENST00000393203	6178	+	9	1:117452679-117532980	45	3	1.000000
transcript:ENST00000496699	553	+	2	1:117509682-117517119	45	3	1.000000
transcript:ENST00000497385	457	+	2	1:117529662-117532972	45	3	1.000000
transcript:ENST00000361641	1960	+	5	1:184020811-184043346	46	7	1.000000
transcript:ENST00000485209	806	+	6	1:184020813-184042114	46	7	1.000000
transcript:ENST00000533373	618	+	5	1:184020860-184042157	46	7	1.000000
transcript:ENST00000367518	573	+	4	1:184020867-184039946	46	7	1.000000
transcript:ENST00000423085	1743	+	4	1:184020880-184043340	46	7	1.000000
transcript:ENST00000462677	1628	+	6	1:184020894-184042980	46	7	1.000000
transcript:ENST00000457455	417	+	2	1:184023495-184024203	46	7	1.000000
transcript:ENST00000481736	1801	-	10	1:24122089-24127271	47	15	1.000000
transcript:ENST00000374497	1488	-	12	1:24122090-24126892	47	15	1.000000
transcript:ENST00000456977	672	-	4	1:24122094-24123432	47	15	1.000000
transcript:ENST00000459934	1563	-	11	1:24122151-24127243	47	15	1.000000
transcript:ENST00000469556	882	-	3	1:24122494-24123559	47	15	1.000000
transcript:ENST00000429356	957	-	8	1:24122641-24126023	47	15	1.000000
transcript:ENST00000418277	882	-	9	1:24122999-24127260	47	15	1.000000
transcript:ENST00000470949	547	-	5	1:24123564-24125926	47	15	1.000000
transcript:ENST00000425913	876	-	7	1:24123582-24127013	47	15	1.000000
transcript:ENST00000445705	792	-	6	1:24123584-24126060	47	15	1.000000
transcript:ENST00000467493	987	-	4	1:24124186-24125926	47	15	1.000000
transcript:ENST00000486382	449	-	3	1:24124610-24125603	47	15	1.000000
transcript:ENST00000470383	2073	-	2	1:24124817-24127242	47	15	1.000000
transcript:ENST00000466250	598	-	4	1:24124870-24127251	47	15	1.000000
transcript:ENST00000467070	556	-	5	1:24125184-24127263	47	15	1.000000
transcript:ENST00000443756	2325	+	12	1:53192126-53287401	48	3	1.000000
transcript:ENST00000545132	2294	+	14	1:53192139-53282310	48	3	1.000000
transcript:ENST00000294353	8093	+	14	1:53192181-53293014	48	3	1.000000
transcript:ENST00000498253	539	-	3	1:174979925-174983960	49	3	1.000000
transcript:ENST00000476371	2115	-	3	1:174982094-174992561	49	3	1.000000
transcript:ENST00000367677	910	-	3	1:174983381-174992551	49	3	1.000000
transcript:ENST00000442558	479	+	2	1:96403457-96488422	50	10	1.000000
transcript:ENST00000593954	683	+	4	1:96457542-96488337	50	10	1.000000
transcript:ENST00000413825	943	+	3	1:96457545-96488436	50	10	1.000000
transcript:ENST00000609411	657	+	5	1:96457568-96471885	50	10	1.000000
transcript:ENST00000595613	670	+	6	1:96457582-96488335	50	10	1.000000
transcript:ENST00000595188	737	+	4	1:96457588-96471821	50	10	1.000000
transcript:ENST00000451675	799	+	5	1:96457624-96488422	50	10	1.000000
transcript:ENST00000598129	718	+	5	1:96457997-96488335	50	10	1.000000
transcript:ENST00000598612	709	+	3	1:96460791-96488337	50	10	1.000000
transcript:ENST00000412513	637	+	3	1:96461677-96488422	50	10	1.000000
transcript:ENST00000379410	2404	+	16	1:901877-910488	51	5	1.000000
transcript:ENST00000379409	2455	+	15	1:901882-910388	51	5	1.000000
transcript:ENST00000379407	2194	+	15	1:901882-910388	51	5	1.000000
transcript:ENST00000480267	464	+	3	1:906255-906903	51	5	1.000000
transcript:ENST00000491024	698	+	5	1:908892-911245	51	5	1.000000
transcript:ENST00000368487	1523	+	12	1:154298029-154310322	52	7	1.000000
transcript:ENST00000368490	473	+	3	1:154298081-154303178	52	7	1.000000
transcript:ENST00000368489	5861	+	28	1:154300276-154323783	52	7	1.000000
transcript:ENST00000426445	2118	+	14	1:154301275-154314264	52	7	1.000000
transcript:ENST00000341822	2111	+	13	1:154301275-154314264	52	7	1.000000
transcript:ENST00000514107	218	+	2	1:154303963-154304455	52	7	1.000000
transcript:ENST00000505882	895	+	3	1:154319091-154321935	52	7	1.000000
transcript:ENST00000367379	517	+	7	1:198607801-198677286	53	18	1.000000
